adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/2im7dn3uq7Wqfu3bo9NCBTxrFF6.jpg,"[878, 12, 28, 10752]",9922,en,The Postman,"In 2013 there are no highways, no I-ways, no dreams of a better tomorrow, only scattered survivors across what was once the Unites States. Into this apocalyptic wasteland comes an enigmatic drifter with a mule, a knack for Shakespeare and something yet undiscovered: the power to inspire hope.",14.028,/piVzOuKFLHNGLxnjwNtibC26lTy.jpg,1997-12-25,The Postman,False,6.2,817
False,/86k4AcYciKQmqvQm9Eh2hVF3tJ2.jpg,[35],9427,en,The Full Monty,"Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.",13.889,/xkMiZv2FPrhIAtxvEcN1jAbkHRY.jpg,1997-08-13,The Full Monty,False,7,1263
False,/2ILGrVCOQyiClPQkS6qSqp7FFvY.jpg,"[18, 53, 878]",1902,es,Abre los ojos,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",13.873,/orjSy9xEGI9jxrtodACH04gANmF.jpg,1997-12-19,Open Your Eyes,False,7.5,752
False,/5jRcZGI1xnfg6kYpmCgBtEnU8dO.jpg,"[12, 14, 18]",946990,en,The Odyssey,,10.606,/pAXq4kp5VRumtcMHgaEGmu1gFrZ.jpg,1997-05-18,The Odyssey,False,10,1
False,/yUmtjm5eLK7WohDtt5E2lHXx84P.jpg,"[18, 27, 53]",10234,de,Funny Games,"Two psychotic young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",13.823,/3s0kqDfTeaUsFUFyzYTD9nKW7Qa.jpg,1997-09-11,Funny Games,False,7.3,1347
False,/lir1D4XfWX9Sp9maTjOGca9rWxj.jpg,"[16, 10751, 12]",19165,en,The Land Before Time V: The Mysterious Island,"A plague of locusts strikes the Great Valley and decimates the plants . When the adults in the herd begin fighting over the scarce resources, young Littlefoot and his friends Petrie, Cera, Ducky and Spike split off from the main group, becoming stranded on an island after their path was destroyed by a tsunami. As they search for a way off the island, they encounter an old acquaintance who may become friend or foe.",13.696,/nlsJfYQ3dwzvr6kwG60P0nh59Sa.jpg,1997-09-12,The Land Before Time V: The Mysterious Island,False,6.1,266
False,/ue9ScDQ60jzMAuZ54tm4mTdLFfq.jpg,"[28, 12, 18]",9433,en,The Edge,"The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.",13.617,/mwzaD2KmWzGUyVJtcUUilH9EbtL.jpg,1997-09-06,The Edge,False,6.8,891
False,/9dsOweKYJ6XAJteBIKEGOI0T2bf.jpg,"[35, 18, 10749]",2255,en,Chasing Amy,"Holden and Banky are comic book artists. Everything is going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",13.307,/eFhPqkNmRDfRHyQiUzUdoQjpwgh.jpg,1997-04-04,Chasing Amy,False,6.8,1067
False,/wqG5Fxy4KBj3oANvJuInplDr3F1.jpg,"[28, 37]",10620,cn,黃飛鴻之西域雄獅,"So goes to the U.S. to open a martial arts school. Around this time, many Chinese people were sold off to U.S. railroad companies, and were brutally treated by the Americans under the harsh working conditions. Thus, the American workers' hatred towards the Chinese immigrants is high. As a result, So gets into trouble with the Americans and the mob, and calls Master Wong for help.",13.292,/6P8AGlUSHRTIeMz25XV8LfwLS4S.jpg,1997-02-01,Once Upon a Time in China and America,False,5.8,69
False,/lKdpaG0G9kXU1wXcZm21FLiyTTQ.jpg,"[16, 35, 10751, 10402]",24662,en,Cats Don't Dance,"Danny, an ambitious singing/dancing cat, goes to Hollywood and overcomes several obstacles to fulfill his dream of becoming a movie star.",13.226,/5Fq3lsn398I5djODa3v8fQW9ssC.jpg,1997-03-26,Cats Don't Dance,False,7.1,127
False,/rhn1klR424nuy7grrn5iJI602Ca.jpg,[35],10806,en,In & Out,A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.,13.206,/jUTQp6cPgfOX4St2WfaeUvxZCts.jpg,1997-09-10,In & Out,False,6.5,551
