,ecole,longitude,latitude,postalcode
949,ECOLE LOUIS DE BROG.,1.0678095,49.9179806,76200
950,ESIEA PARIS,2.3784328,48.81446889999999,94200
951,ESIEA Paris-Laval PC,2.3784328,48.81446889999999,94200
952,ESTIT V.D ASCQ,3.1360552,50.6402576,59650
953,ISEB Brest,-4.495553999999999,48.4070554,29200
954,ISEM Toulon,5.9396605,43.1206202,83000
955,ENSIL Limoges E.T.I,1.2952454,45.86102899999999,87280
956,ENSIL Limoges TSME,1.2952454,45.86102899999999,87280
957,ENSSAT Lannion EII,-3.4624262,48.729673,22305
958,ENSSAT Lannion LSI,-3.4624262,48.729673,22305
959,ENSSAT Lannion OPT,-3.4624262,48.729673,22305
960,ESIGEC Chambery GE,1.0768848,49.3832749,76800
961,ESIGEC Chambery IB,5.917781,45.564601,73000
962,ESIGEC Chambery MC,1.0768848,49.3832749,76800
963,ESSI Nice,7.267893,43.701928,06000
964,FIUPSO Paris-Orsay,2.3265614,48.8599614,75007
965,ISITV Toulon IMATH,2.3582236,48.8330427,75013
966,ISPG MATER,-82.4382347,27.462046,34211
967,ISPG TELECOM,76.29698669999999,9.9644619,82036
968,IST Paris6 : Elec.Info.,2.3522219,48.856614,75004
969,IST Paris6 : Matériaux,2.24189,48.89141799999999,92974
970,IST Paris6 GG,2.3522219,48.856614,75004
971,ISTASE Saint-Etienne,4.4244562,45.4238076,42000
972,Polytech Mars. : M.Telec.,-0.5156010999999999,47.5306474,49000
973,Polytech Mars. GII,2.2112917,48.7142971,91120
974,Polytech Mars. ME,2.3577864,48.8462524,75005
975,POLYTECH Marseille PC,5.4431033,43.23194669999999,13009
976,POLYTECH'Nantes MAT,-1.5158639,47.2819356,44300
977,POLYTECH'Nantes SEII,-1.5158639,47.2819356,44300
978,POLYTECH'Nantes SILR,-1.5158639,47.2819356,44300
979,POLYTECH'Nantes TE,-1.5158639,47.2819356,44300
980,Polytech'Orleans-ESPEO,1.9390229,47.8440593,45100
981,Polytech'Tours : info.,0.6847464999999999,47.3646921,37200
982,Polytech'Lille : IAAL,3.1370078,50.6078394,59655
983,ISIM Sc+Tech indus A,4.8418428,45.7256685,69007
984,CUST Genie Biol.,2.3574856,48.8336453,75013
985,CUST Genie Civil,3.1092253,45.7608031,63100
986,CUST Genie Elec.,2.342766,48.7038421,91420
987,CUST Genie Math+Mod,-74.40451689999999,40.4593382,08816
988,CUST Genie Physique,3.1092253,45.7608031,63100
989,Polytech'Lille : G.I.S.,3.1370078,50.6078394,59655
990,Polytech'Lille : G. GC.,3.1370078,50.6078394,59655
991,Polytech'Lille : I.M.A.,3.1370078,50.6078394,59655
992,Polytech'Lille : I. S.,3.1370078,50.6078394,59655
993,Polytech'Lille : Sc.Mat.,3.1370078,50.6078394,59655
994,ISIM Info et Gestion,2.5416916,48.83783529999999,93160
995,ISIM Micro Elec+Auto,1.9449952,48.5713525,78730
996,ISIM Sc+Tech Eau,-81.1637245,33.836081,29172
997,ISIM Sc+Tech Mat,10.8407374,35.7644464,5000
998,Polytech'Grenoble : Géot.,5.752253,45.1846156,38400
999,Polytech'Grenoble : 3 I,5.752253,45.1846156,38400
1000,Polytech'Grenoble :PRIHSE,5.752253,45.1846156,38400
1001,Polytech' Grenoble SciGMa,5.752253,45.1846156,38400
1002,Polytech' Grenoble: T.I.S,5.752253,45.1846156,38400
1003,Reseau Eiffel PC,2.2944813,48.85837009999999,75007
1004,EIPC,2.260415,50.734662,62967
1005,EPMI,-95.4354701,29.7331398,77046
1006,ESIGETEL Fontainebl.,2.3640636,48.7885773,94800
1007,ESITE,-79.88859699999999,32.8057306,29464
1008,ESTIA Bayonne,-1.5511938,43.445714,64210
1009,Supélec PT,2.1661629,48.709445,91190
1010,C.C Mines Ponts PT,2.3358177,48.8304214,75014
1011,ENSAIS G.CLIM ET ENE,7.764898400000001,48.5823052,67000
