Modele,Marque,Energie,Consommation,Rejets CO2,Rejets CO2 Classe
"ROVER RANGE ROVER SPORT P575 (22"")",LAND,ES,14.7,331.0,G
"ROVER RANGE ROVER SPORT P575 (21"")",LAND,ES,14.7,331.0,G
Mercedes-Maybach S 680 4MATIC,MERCEDES,ES,14.2,321.5,G
"ROVER RANGE ROVER SPORT P525 (525ch) 5PL 225 km/h (20"".21"".22"")",LAND,ES,14.149999999999999,318.5,G
"ROVER RANGE ROVER SPORT P525 (525ch) 5PL 225 km/h (19"")",LAND,ES,14.149999999999999,318.5,G
"ROVER RANGE ROVER SPORT P525 (525ch) 5PL 225 km/h (21"".22"")",LAND,ES,14.149999999999999,318.5,G
"ROVER RANGE ROVER SPORT P525 (525ch) 5PL 250 km/h (20"".21"".22"")",LAND,ES,14.149999999999999,318.5,G
"ROVER RANGE ROVER SPORT P525 (525ch) 5PL 250 km/h (19"")",LAND,ES,14.149999999999999,318.5,G
"ROVER RANGE ROVER SPORT P525 (525ch) 5PL 250 km/h (21"".22"")",LAND,ES,14.149999999999999,318.5,G
"ROVER RANGE ROVER SPORT P525 (525ch) 5+2 PL 225km/h (21"".22"")",LAND,ES,14.149999999999999,318.5,G
"ROVER RANGE ROVER SPORT P525 (525ch) 5+2 PL 225km/h (19"")",LAND,ES,14.149999999999999,318.5,G
"ROVER RANGE ROVER SPORT P525 (525ch) 5+2 PL 250 km/h (21"".22"")",LAND,ES,14.149999999999999,318.5,G
"ROVER RANGE ROVER SPORT P525 (525ch) 5+2 PL 250 km/h (19"")",LAND,ES,14.149999999999999,318.5,G
Huracan Coupe 2WD,LAMBORGHINI,ES,13.2,332.0,G
HURACAN EVO Coupe,LAMBORGHINI,ES,13.7,332.0,G
LEVANTE TROFEO,MASERATI,ES,14.25,321.5,G
LEVANTE GTS,MASERATI,ES,14.25,321.5,G
SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,12.7,333.0,G
