date,ID,lat,long,value
2012-01,ASN00044142,-27.6844,147.6981,1624
2012-01,ASN00047049,-32.0682,141.1097,596
2012-01,ASN00041543,-28.0719,151.1861,609
2012-01,ASN00041537,-28.3394,152.2944,820
2012-01,ASN00041116,-28.9231,151.9306,338
2012-01,ASN00041120,-28.1897,152.2064,796
2012-01,ASN00041128,-28.4997,150.5928,1156
2012-01,ASN00041134,-28.3128,152.4025,2600
2012-01,ASN00041145,-26.8397,151.165,510
2012-01,ASN00041162,-28.2694,150.8106,1262
2012-01,ASN00041166,-27.6764,151.6022,494
2012-01,ASN00041170,-27.5433,151.6383,332
2012-01,ASN00041175,-28.6217,151.9533,1924
2012-01,ASN00041182,-27.1667,151.5697,366
2012-01,ASN00041208,-28.3542,152.3392,1558
2012-01,ASN00041229,-28.0775,152.2625,1080
2012-01,ASN00041230,-28.7208,151.1825,212
2012-01,ASN00041240,-27.1858,151.1419,748
2012-01,ASN00041250,-27.7894,151.4133,920
2012-01,ASN00041276,-27.9292,152.1606,830
2012-01,ASN00041277,-26.7675,151.2075,688
2012-01,ASN00041314,-27.7578,151.4483,888
2012-01,ASN00041323,-28.0187,152.2861,1424
2012-01,ASN00041112,-28.4033,150.0517,2210
2012-01,ASN00041106,-27.9651,152.0752,744
2012-01,ASN00041100,-28.8544,151.1681,836
2012-01,ASN00041098,-28.2858,152.2425,844
2012-01,ASN00041022,-28.5,151.9722,931
2012-01,ASN00041024,-27.2067,151.8467,488
2012-01,ASN00070307,-35.2459,149.1068,345
2012-01,ASN00041025,-27.5742,151.0839,462
2012-01,ASN00041034,-28.4039,151.4703,867
2012-01,ASN00041037,-27.3072,151.8506,372
2012-01,ASN00041047,-28.4147,151.0828,1500
2012-01,ASN00041050,-26.7797,151.1111,646
2012-01,ASN00041052,-26.6928,151.0964,1000
2012-01,ASN00041338,-28.8,151.8433,772
2012-01,ASN00041053,-27.3675,151.5897,416
2012-01,ASN00041072,-27.4831,151.6003,514
2012-01,ASN00041082,-27.7156,151.6333,484
2012-01,ASN00041083,-28.0694,151.7797,636
2012-01,ASN00041085,-28.3253,152.3942,2684
2012-01,ASN00041086,-26.6653,151.3969,1030
2012-01,ASN00041090,-26.5392,151.1347,1400
